analyses.id;nageurs.id;prenom;nageurs.nom;sexe;anneeDeNaissance;nationalite;club;courses.id;dateCourse;competitions.nom;longueurBassin;distances.libelle;styles.libelle;rounds.libelle;tpsDebutCourse;tpsFinal;tpsReaction;tpsDecollagePieds;tpsVol;couloir
23;123;Ladislas;SALCZER;m;20000101;FRA;OLYMPIC NICE NATATION;13;20210529;MN 2021 MONACO;50;100;Dos;Finale;7,83;56,65;0,53;0,53;0,66;3
24;122;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;13;20210529;MN 2021 MONACO;50;100;Dos;Finale;0;53,53;0,6;0,6;-1;4
25;119;Christophe;BRUN;m;19980101;FRA;CN ANTIBES;13;20210529;MN 2021 MONACO;50;100;Dos;Finale;7,82;56,72;0,64;0,64;0,71;6
26;92;Charles;RIHOUX;m;19980101;FRA;OLYMPIC NICE NATATION;14;20210529;MN 2021 MONACO;50;100;Nage Libre;Finale;0;49,44;0,64;0,64;-1;3
28;59;Clément;MIGNON;m;19930101;FRA;CN MARSEILLE;14;20210529;MN 2021 MONACO;50;100;Nage Libre;Finale;0;50,07;0,61;0,61;-1;5
27;89;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;14;20210529;MN 2021 MONACO;50;100;Nage Libre;Finale;0;48,28;0,63;0,63;-1;4
32;37;Fantine;LESAFFRE;f;19940101;FRA;CN ANTIBES;16;20210529;MN 2021 MONACO;50;200;Dos;Finale;0;134,99;0,67;0,67;-1;4
33;36;Louise;LEFEBVRE;f;20030101;FRA;OLYMPIC NICE NATATION;16;20210529;MN 2021 MONACO;50;200;Dos;Finale;0;138,86;0,63;0,63;-1;5
34;17;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;17;20210529;MN 2021 MONACO;50;200;Nage Libre;Finale;0;118,38;0,7;0,7;-1;4
35;19;Alizée;MOREL;f;19950101;FRA;CN ANTIBES;17;20210529;MN 2021 MONACO;50;200;Nage Libre;Finale;0;121,76;0,62;0,62;-1;5
36;106;Logan;FONTAINE;m;19990101;FRA;C VIKINGS DE ROUEN;18;20210529;MN 2021 MONACO;50;200;Papillon;Finale;0;122,02;0,73;0,73;-1;6
31;37;Fantine;LESAFFRE;f;19940101;FRA;CN ANTIBES;19;20210529;MN 2021 MONACO;50;400;4 Nages;Finale;-0,82;280,12;0,82;0,82;-0,18;5
37;2;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;24;20210529;MN 2021 MONACO;50;50;Nage Libre;Huitieme de finale;5,17;25,1;0,58;0,58;0,99;5
39;2;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;25;20210529;MN 2021 MONACO;50;50;Nage Libre;Quart de finale;2,66;24,89;0,57;0,57;0,93;4
38;57;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;24;20210529;MN 2021 MONACO;50;50;Nage Libre;Huitieme de finale;5,77;22,12;0,64;0,64;1,06;5
40;57;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;25;20210529;MN 2021 MONACO;50;50;Nage Libre;Quart de finale;4,19;22,05;0,62;0,62;1,06;5
41;98;Sergueï;COMTE;m;20000101;FRA;RC BRON DÉCINES NATATION;26;20210529;MN 2021 MONACO;50;50;Papillon;Huitieme de finale;7,97;24,23;0,58;0,58;0,92;5
42;98;Sergueï;COMTE;m;20000101;FRA;RC BRON DÉCINES NATATION;27;20210529;MN 2021 MONACO;50;50;Papillon;Quart de finale;4,5;24,14;0,57;0,57;0,91;5
43;94;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;33;20210530;MN 2021 MONACO;50;200;Nage Libre;Series;5,42;108,02;0,62;0,62;0,98;3
44;94;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;41;20210530;MN 2021 MONACO;50;200;Nage Libre;Finale;1,16;108,32;0,62;0,62;0,95;4
