id;idAnalyse;distanceDebut;tpsDebut;tpsDebutCycles;nbCycles;tpsFinCycles;distanceFin;tpsFin
1991;287;15;6.17;6.17;5;11.87;25;11.87
1992;287;25;11.87;11.87;10;24.12;45;24.12
1993;287;55;29.41;32.31;3;35.89;65;35.89
1994;287;65;35.89;35.89;5;42.29;75;42.29
1995;287;75;42.29;42.29;10;54.99;95;54.99
1996;287;105;60.52;62.95;3;67.25;115;67.25
1997;287;115;67.25;67.25;5;73.46;125;73.46
1998;287;125;73.46;73.46;10;86.09;145;86.09
1999;287;155;92.05;93.94;4;98.62;165;98.62
2000;287;165;98.62;98.62;6;105.25;175;105.25
2001;287;175;105.25;105.25;11;118.24;195;118.24
2002;288;5;-1;-1;-1;-1;15;6.19
2003;288;15;6.19;6.51;5;11.63;25;11.63
2004;288;25;11.63;11.63;10;23.31;45;23.31
2005;288;55;28.42;32.83;2;34.93;65;34.93
2006;288;65;34.93;34.93;5;40.91;75;40.91
2007;288;75;40.91;40.91;10;52.89;95;52.89
2008;288;105;58.52;62.24;2;64.9;115;64.9
2009;288;115;64.9;64.9;5;70.85;125;70.85
2010;288;125;70.85;70.85;10;83.07;145;83.07
2011;288;155;88.74;92.07;3;95.37;165;95.37
2012;288;165;95.37;95.37;5;101.75;175;101.75
2013;288;175;101.75;101.75;10;114.57;195;114.57
2014;289;5;-1;6.96;1;8.28;15;8.28
2015;289;15;8.28;8.28;5;14.72;25;14.72
2016;289;25;14.72;14.72;10;29.08;45;29.08
2017;289;55;34.29;37.75;3;41.97;65;41.97
2018;289;65;41.97;41.97;5;49.23;75;49.23
2019;289;75;49.23;49.23;10;63.83;95;63.83
2020;289;105;69.56;72.49;4;76.94;115;76.94
2021;289;115;76.94;76.94;5;83.94;125;83.94
2022;289;125;83.94;83.94;11;98.97;145;98.97
2023;289;155;105.08;107.77;4;112.49;165;112.49
2024;289;165;112.49;112.49;6;119.98;175;119.98
2025;289;175;119.98;119.98;12;134.98;195;134.98
2026;290;5;-1;7.11;1;7.84;15;7.84
2027;290;15;7.84;7.84;5;14.03;25;14.03
2028;290;25;14.03;14.03;10;27.96;45;27.96
2029;290;55;33.41;36.24;3;41.39;65;41.39
2030;290;65;41.39;41.39;5;48.8;75;48.8
2031;290;75;48.8;48.8;9;63.42;95;63.42
2032;290;105;69.39;71.01;4;77.48;115;77.48
2033;290;115;77.48;77.48;5;84.88;125;84.88
2034;290;125;84.88;84.88;10;100.09;145;100.09
2035;290;155;106.21;106.94;5;113.79;165;113.79
2036;290;165;113.79;113.79;5;121.33;175;121.33
2037;290;175;121.33;121.33;10;136.46;195;136.46
2038;291;5;-1;6.06;2;8.3;15;8.3
2039;291;15;8.3;8.3;5;14.49;25;14.49
2040;291;25;14.49;14.49;10;28.08;45;28.08
2041;291;55;33.4;36.05;4;41.21;65;41.21
2042;291;65;41.21;41.21;5;48.2;75;48.2
2043;291;75;48.2;48.2;10;62.42;95;62.42
2044;291;105;68.43;69.99;4;75.94;115;75.94
2045;291;115;75.94;75.94;5;82.94;125;82.94
2046;291;125;82.94;82.94;10;97.79;145;97.79
2047;291;155;103.82;105.19;4;111.54;165;111.54
2048;291;165;111.54;111.54;5;119.18;175;119.18
2049;291;175;119.18;119.18;10;134.6;195;134.6
2050;292;5;-1;6.88;1;7.62;15;7.62
2051;292;15;7.62;7.62;4;13.94;25;13.94
2052;292;25;13.94;13.94;8;27.73;45;27.73
2053;292;55;32.79;35.91;2;40.29;65;40.29
2054;292;65;40.29;40.29;4;47.28;75;47.28
2055;292;75;47.28;47.28;8;61.59;95;61.59
2056;292;105;67.25;69.69;3;74.76;115;74.76
2057;292;115;74.76;74.76;4;81.8;125;81.8
2058;292;125;81.8;81.8;9;96.88;145;96.88
2059;292;155;102.62;104.79;3;110.34;165;110.34
2060;292;165;110.34;110.34;4;117.81;175;117.81
2061;292;175;117.81;117.81;9;132.88;195;132.88
2062;293;5;-1;6.78;1;8.04;15;8.04
2063;293;15;8.04;8.04;4;14.3;25;14.3
2064;293;25;14.3;14.3;9;28.03;45;28.03
2065;293;55;33.55;35.26;4;40.96;65;40.96
2066;293;65;40.96;40.96;4;48.05;75;48.05
2067;293;75;48.05;48.05;9;62.22;95;62.22
2068;293;105;68.3;69.04;4;75.39;115;75.39
2069;293;115;75.39;75.39;4;82.35;125;82.35
2070;293;125;82.35;82.35;9;97.07;145;97.07
2071;293;155;103;103.77;4;110.04;165;110.04
2072;293;165;110.04;110.04;5;117.24;175;117.24
2073;293;175;117.24;117.24;10;131.18;195;131.18
2074;294;5;-1;5.78;1;6.44;15;6.44
2075;294;15;6.44;6.44;5;11.92;25;11.92
2076;294;25;11.92;11.92;11;24.21;45;24.21
2077;294;55;29.48;33.19;8;42.54;75;42.54
