id,idAnalyse,distanceDebut,tpsDebut,tpsDebutCycles,nbCycles,tpsFinCycles,distanceFin,tpsFin,TRIAL311
830,96,15.0,6.89,6.89,4,12.77,25.0,12.77,T
831,96,25.0,12.77,12.77,8,24.89,45.0,24.89,T
832,96,55.0,29.75,34.11,1,35.87,65.0,35.87,T
833,96,65.0,35.87,35.87,4,41.99,75.0,41.99,T
834,96,75.0,41.99,41.99,8,54.35,95.0,54.35,T
835,96,105.0,59.44,64.05,1,65.47,115.0,65.47,T
836,96,115.0,65.47,65.47,4,71.71,125.0,71.71,T
837,96,125.0,71.71,71.71,8,84.49,145.0,84.49,T
838,96,155.0,89.81,94.15,1,96.15,165.0,96.15,T
839,96,165.0,96.15,96.15,4,102.55,175.0,102.55,T
840,96,175.0,102.55,102.55,8,115.67,195.0,115.67,T
841,97,5.0,-1.0,6.31,0,6.47,15.0,6.47,T
842,97,15.0,6.47,6.47,5,11.99,25.0,11.99,T
843,97,25.0,11.99,11.99,9,23.53,45.0,23.53,T
844,97,55.0,27.93,31.43,2,34.11,65.0,34.11,T
845,97,65.0,34.11,34.11,5,40.21,75.0,40.21,T
846,97,75.0,40.21,40.21,9,52.4,95.0,52.4,T
847,97,105.0,57.15,60.14,2,63.59,115.0,63.59,T
848,97,115.0,63.59,63.59,4,69.71,125.0,69.71,T
849,97,125.0,69.71,69.71,9,81.95,145.0,81.95,T
850,97,155.0,86.91,89.25,3,93.35,165.0,93.35,T
851,97,165.0,93.35,93.35,5,99.69,175.0,99.69,T
852,97,175.0,99.69,99.69,10,113.19,195.0,113.19,T
853,98,5.0,-1.0,5.32,2,7.16,15.0,7.16,T
854,98,15.0,7.16,7.16,6,13.02,25.0,13.02,T
855,98,25.0,13.02,13.02,11,25.1,45.0,25.1,T
856,98,55.0,30.94,33.26,4,38.08,65.0,38.08,T
857,98,65.0,38.08,38.08,5,44.76,75.0,44.76,T
858,98,75.0,44.76,44.76,10,58.64,95.0,58.64,T
859,98,105.0,64.91,68.31,3,72.94,115.0,72.94,T
860,98,115.0,72.94,72.94,5,80.96,125.0,80.96,T
861,98,125.0,80.96,80.96,10,96.76,145.0,96.76,T
862,98,155.0,103.88,104.31,5,110.17,165.0,110.17,T
863,98,165.0,110.17,110.17,5,116.66,175.0,116.66,T
864,98,175.0,116.66,116.66,10,130.11,195.0,130.11,T
865,99,5.0,-1.0,5.99,1,6.79,15.0,6.79,T
866,99,15.0,6.79,6.79,5,12.57,25.0,12.57,T
867,99,25.0,12.57,12.57,10,24.67,45.0,24.67,T
868,99,55.0,30.41,32.45,9,43.59,75.0,43.59,T
869,99,75.0,43.59,43.59,11,56.47,95.0,56.47,T
870,99,105.0,62.49,64.05,8,76.47,125.0,76.47,T
871,99,125.0,76.47,76.47,9,90.23,145.0,90.23,T
872,99,155.0,95.55,97.35,8,109.31,175.0,109.31,T
873,99,175.0,109.31,109.31,9,123.0,195.0,123.0,T
874,99,205.0,129.09,131.71,8,144.65,225.0,144.65,T
875,99,225.0,144.65,144.65,9,159.47,245.0,159.47,T
876,99,255.0,165.95,168.57,8,181.63,275.0,181.63,T
877,99,275.0,181.63,181.63,10,197.42,295.0,197.42,T
878,99,305.0,204.03,204.03,8,216.15,325.0,216.15,T
879,99,325.0,216.15,216.15,9,228.62,345.0,228.62,T
880,99,355.0,234.21,234.21,9,246.83,375.0,246.83,T
881,99,375.0,246.83,246.83,9,259.35,395.0,259.35,T
882,100,5.0,-1.0,-1.0,-1,-1.0,15.0,6.47,T
883,100,15.0,6.47,6.64,4,11.81,25.0,11.81,T
884,100,25.0,11.81,11.81,9,22.99,45.0,22.99,T
885,100,55.0,27.33,32.97,0,33.19,65.0,33.19,T
886,100,65.0,33.19,33.19,5,38.85,75.0,38.85,T
887,100,75.0,38.85,38.85,10,50.28,95.0,50.28,T
888,101,5.0,-1.0,5.43,0,6.52,15.0,6.52,T
889,101,15.0,6.52,6.52,5,12.48,25.0,12.48,T
890,101,25.0,12.48,12.48,11,25.11,45.0,25.11,T
891,101,55.0,30.26,34.52,2,37.16,65.0,37.16,T
892,101,65.0,37.16,37.16,6,43.66,75.0,43.66,T
893,101,75.0,43.66,43.66,13,57.1,95.0,57.1,T
894,102,5.0,-1.0,-1.0,-1,-1.0,15.0,5.14,T
895,102,15.0,5.14,5.48,4,10.38,25.0,10.38,T
896,102,25.0,10.38,10.38,9,21.4,45.0,21.4,T
897,102,55.0,25.78,31.18,0,31.25,65.0,31.25,T
898,102,65.0,31.25,31.25,5,36.9,75.0,36.9,T
899,102,75.0,36.9,36.9,10,48.3,95.0,48.3,T
900,103,5.0,-1.0,4.31,1,5.4,15.0,5.4,T
901,103,15.0,5.4,5.4,4,10.42,25.0,10.42,T
902,103,25.0,10.42,10.42,8,20.64,45.0,20.64,T
903,103,55.0,24.76,27.06,3,29.97,65.0,29.97,T
904,103,65.0,29.97,29.97,5,35.07,75.0,35.07,T
905,103,75.0,35.07,35.07,9,45.5,95.0,45.5,T
906,104,5.0,-1.0,-1.0,-1,-1.0,15.0,7.22,T
907,104,15.0,7.22,7.26,5,13.54,25.0,13.54,T
908,104,25.0,13.54,13.54,10,26.32,45.0,26.32,T
909,104,55.0,31.28,35.95,2,37.92,65.0,37.92,T
910,104,65.0,37.92,37.92,6,44.62,75.0,44.62,T
911,104,75.0,44.62,44.62,11,58.1,95.0,58.1,T
912,105,5.0,-1.0,5.51,2,7.66,15.0,7.66,T
913,105,15.0,7.66,7.66,6,14.3,25.0,14.3,T
914,105,25.0,14.3,14.3,13,28.3,45.0,28.3,T
915,105,55.0,34.34,37.26,4,42.1,65.0,42.1,T
916,105,65.0,42.1,42.1,7,49.46,75.0,49.46,T
917,105,75.0,49.46,49.46,13,64.72,95.0,64.72,T
918,106,5.0,-1.0,6.07,0,6.09,15.0,6.09,T
919,106,15.0,6.09,6.09,5,11.72,25.0,11.72,T
920,106,25.0,11.72,11.72,10,23.47,45.0,23.47,T
921,106,55.0,28.75,32.5,2,35.15,65.0,35.15,T
922,106,65.0,35.15,35.15,5,41.31,75.0,41.31,T
923,106,75.0,41.31,41.31,11,54.57,95.0,54.57,T
924,107,5.0,-1.0,4.01,2,6.01,15.0,6.01,T
925,107,15.0,6.01,6.01,5,11.55,25.0,11.55,T
926,107,25.0,11.55,11.55,10,23.01,45.0,23.01,T
927,107,55.0,27.99,29.47,4,34.03,65.0,34.03,T
928,107,65.0,34.03,34.03,5,39.89,75.0,39.89,T
929,107,75.0,39.89,39.89,10,51.85,95.0,51.85,T
930,108,5.0,-1.0,4.57,1,6.48,15.0,6.48,T
931,108,15.0,6.48,6.48,4,12.11,25.0,12.11,T
932,108,25.0,12.11,12.11,7,23.86,45.0,23.86,T
933,108,55.0,28.52,30.12,6,40.86,75.0,40.86,T
934,108,75.0,40.86,40.86,7,53.06,95.0,53.06,T
935,108,105.0,57.99,59.29,7,70.1,125.0,70.1,T
936,108,125.0,70.1,70.1,7,82.12,145.0,82.12,T
937,108,155.0,87.08,88.11,7,99.29,175.0,99.29,T
938,108,175.0,99.29,99.29,7,111.52,195.0,111.52,T
939,108,205.0,116.34,117.67,7,128.56,225.0,128.56,T
940,108,225.0,128.56,128.56,7,140.88,245.0,140.88,T
941,108,255.0,145.52,146.8,7,157.94,275.0,157.94,T
942,108,275.0,157.94,157.94,7,170.26,295.0,170.26,T
943,108,305.0,175.34,176.32,7,187.46,325.0,187.46,T
944,108,325.0,187.46,187.46,8,199.52,345.0,199.52,T
945,108,355.0,204.62,205.51,7,216.85,375.0,216.85,T
946,108,375.0,216.85,216.85,8,229.22,395.0,229.22,T
947,108,405.0,234.24,235.48,7,246.48,425.0,246.48,T
948,108,425.0,246.48,246.48,8,258.78,445.0,258.78,T
949,108,455.0,263.81,264.98,7,276.18,475.0,276.18,T
950,108,475.0,276.18,276.18,8,288.9,495.0,288.9,T
951,108,505.0,293.92,294.76,7,306.21,525.0,306.21,T
952,108,525.0,306.21,306.21,8,318.68,545.0,318.68,T
953,108,555.0,323.8,324.89,7,336.32,575.0,336.32,T
954,108,575.0,336.32,336.32,8,349.06,595.0,349.06,T
955,108,605.0,354.36,355.32,8,366.65,625.0,366.65,T
956,108,625.0,366.65,366.65,8,379.3,645.0,379.3,T
957,108,655.0,384.67,385.1,8,397.35,675.0,397.35,T
958,108,675.0,397.35,397.35,8,410.38,695.0,410.38,T
959,108,705.0,415.82,416.98,7,428.0,725.0,428.0,T
960,108,725.0,428.0,428.0,8,440.58,745.0,440.58,T
961,108,755.0,445.74,447.04,8,457.9,775.0,457.9,T
962,108,775.0,457.9,457.9,8,470.22,795.0,470.22,T
963,109,5.0,-1.0,4.56,1,5.35,15.0,5.35,T
964,109,15.0,5.35,5.35,5,9.81,25.0,9.81,T
965,109,25.0,9.81,9.81,10,19.39,45.0,19.39,T
966,110,5.0,-1.0,5.9,0,5.92,15.0,5.92,T
967,110,15.0,5.92,5.92,6,11.31,25.0,11.31,T
968,110,25.0,11.31,11.31,12,22.48,45.0,22.48,T
969,111,5.0,-1.0,4.5,1,5.56,15.0,5.56,T
970,111,15.0,5.56,5.56,5,10.24,25.0,10.24,T
971,111,25.0,10.24,10.24,10,19.78,45.0,19.78,T
972,112,5.0,-1.0,6.47,0,6.55,15.0,6.55,T
973,112,15.0,6.55,6.55,4,11.85,25.0,11.85,T
974,112,25.0,11.85,11.85,9,23.05,45.0,23.05,T
