h;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
275;83;100;-1;-1;0;-1;150;90.41
276;83;150;-1;-1;0;-1;200;120.61
277;84;0;4.45;-1;0;26.16;50;27.44
278;84;50;30.12;-1;0;56.1;100;57.45
279;84;100;60.09;-1;0;87.5;150;88.81
280;84;150;91.2;-1;0;119.62;200;120.06
281;85;0;4.83;-1;0;21.73;50;21.86
282;86;0;-1;-1;0;-1;50;22.19
283;87;0;6.03;-1;0;25.29;50;25.3
284;88;0;6.12;-1;0;26.3;50;26.35
285;89;0;6.27;-1;0;24.23;50;24.34
286;89;50;31.75;-1;0;51.64;100;52.31
287;90;0;6.26;-1;0;31.25;50;32.23
288;91;0;6.14;-1;0;24.63;50;25.98
289;91;50;30.04;-1;0;53.3;100;53.32
290;92;0;-1;-1;0;-1;50;21.67
291;93;0;4.51;-1;0;21.55;50;21.95
292;94;0;5.75;-1;0;25.52;50;25.53
293;95;0;6.22;-1;0;25.91;50;26.07
294;96;0;-1;-1;0;-1;50;28.2
295;96;50;-1;-1;0;-1;100;57.74
296;96;100;-1;-1;0;-1;150;88.05
297;96;150;-1;-1;0;-1;200;118.64
298;97;0;-1;-1;0;-1;50;26.56
299;97;50;-1;-1;0;-1;100;55.72
300;97;100;-1;-1;0;-1;150;85.28
301;97;150;-1;-1;0;-1;200;116.37
302;98;0;5.32;-1;0;28.07;50;28.2
303;98;50;33.26;-1;0;61.34;100;61.95
304;98;100;68.31;-1;0;100.06;150;100.65
305;98;150;104.31;-1;0;133.14;200;133.22
306;99;0;5.99;-1;0;27.53;50;27.7
307;99;50;32.45;-1;0;59.27;100;59.72
308;99;100;64.05;-1;0;92.21;150;93.78
309;99;150;97.35;-1;0;125.91;200;126.23
310;99;200;131.71;-1;0;162.73;250;163.26
311;99;250;168.57;-1;0;199.57;300;200.97
312;99;300;203.87;-1;0;230.51;350;232.05
313;99;350;234.03;-1;0;261.91;400;262.07
314;100;0;6.64;-1;0;24.55;50;25.93
315;100;50;32.97;-1;0;52.73;100;52.96
316;101;0;5.43;-1;0;26.64;50;28.02
317;101;50;34.52;-1;0;59.12;100;60.3
318;102;0;5.48;-1;0;23.5;50;23.7
319;102;50;31.18;-1;0;51.24;100;51.26
320;103;0;4.31;-1;0;22.22;50;23.28
321;103;50;27.06;-1;0;47.51;100;47.98
322;104;0;7.26;-1;0;28.58;50;29.68
323;104;50;35.95;-1;0;61.05;100;61.27
324;105;0;5.51;-1;0;31.01;50;31.5
325;105;50;37.26;-1;0;67.47;100;68.22
326;106;0;6.07;-1;0;25.91;50;26.39
327;106;50;32.5;-1;0;57.43;100;58.2
328;107;0;4.01;-1;0;25.12;50;26.19
