id;idCompetition;longueurBassin;distance;style;round;dateCourse;manche;barrage;rang
132;3;50;3;5;3;20210728;0;0;
133;3;50;3;5;3;20210730;0;0;
134;3;50;3;3;3;20210730;0;0;
135;3;50;3;3;3;20210729;0;0;
136;3;50;3;3;3;20210731;0;0;
137;3;50;3;2;3;20210731;0;0;
138;3;50;3;2;3;20210730;0;0;
139;3;50;3;4;3;20210728;0;0;
140;3;50;3;4;3;20210727;0;0;
141;3;50;3;1;3;20210729;0;0;
142;3;50;3;1;3;20210728;0;0;
143;3;50;4;4;3;20210725;0;0;
144;3;50;5;4;1;20210727;0;0;
145;3;50;2;1;3;20210928;0;0;
146;3;50;4;5;3;20210928;0;0;
