id;idCourse;idNageur
426;125;43
427;125;45
428;125;338
429;125;335
430;125;336
431;125;299
432;125;301
433;125;302
434;125;230
435;125;232
436;125;229
437;125;233
438;127;415
439;127;472
440;127;421
441;127;367
442;127;189
443;127;191
444;127;364
445;127;442
446;128;196
447;128;199
448;128;195
449;128;302
450;128;249
451;128;498
452;128;197
453;128;502
454;129;444
455;129;439
456;129;479
457;129;496
458;129;474
459;129;225
460;129;226
461;129;289
462;129;246
463;129;35
464;129;454
465;129;208
466;129;501
467;129;37
468;129;426
469;129;36
470;130;313
471;130;403
472;130;335
473;130;333
474;130;317
475;130;47
476;130;48
477;130;336
478;118;299
479;118;340
480;118;35
481;118;347
482;118;218
483;118;217
484;118;219
485;131;299
486;131;242
487;131;240
488;131;209
489;131;244
490;131;487
491;131;437
492;131;241
493;132;330
494;132;492
495;132;380
496;132;287
497;132;327
498;132;329
499;132;290
500;132;497
501;133;308
502;133;276
503;133;304
504;133;306
505;133;271
506;133;302
507;133;399
508;133;275
509;134;464
510;134;421
511;134;427
512;134;472
513;134;367
514;134;373
515;134;287
516;134;429
517;135;262
518;135;260
519;135;199
520;135;482
521;135;249
522;135;384
523;135;453
524;135;261
525;137;467
526;137;444
527;137;496
528;137;474
529;137;354
530;137;439
531;137;433
532;137;460
533;138;258
534;138;388
535;138;454
536;138;246
537;138;247
538;138;257
539;138;446
540;138;414
541;139;266
542;139;50
543;139;430
544;139;490
545;139;403
546;139;503
547;139;333
548;139;499
549;140;217
550;140;270
551;140;272
552;140;271
553;140;477
554;140;221
555;140;347
556;140;470
557;141;235
558;141;504
559;141;418
560;141;312
561;141;331
562;141;479
563;141;314
564;141;488
565;142;368
566;142;252
567;142;428
568;142;242
569;142;376
570;142;245
571;142;358
572;142;409
573;92;290
574;92;331
575;92;330
576;92;324
577;92;296
578;92;323
579;92;297
580;92;288
581;143;450
582;143;445
583;143;378
584;143;452
585;143;353
586;143;500
587;143;477
588;143;398
589;144;2
590;145;236
591;145;316
592;145;313
593;145;312
594;145;317
595;145;319
596;145;234
597;146;278
598;146;309
599;146;476
600;146;308
601;146;282
602;146;305
603;146;279
