id;nom;prenom;anneeDeNaissance;sexe;nationalite;club;status
495;WELLBROCK;Florian;19970819;m;GER;;
496;WHITE;Rhyan Elisabeth;20000125;f;USA;;
497;WILSON;Alicia;20000305;f;GBR;;
498;WILSON;Andrew;19930916;m;USA;;
499;WILSON;Madison;19940531;f;AUS;;
500;WINNINGTON;Elijah;20000505;m;AUS;;
501;XU;Jiayu;19950819;m;CHN;;
502;YAN;Zibei;19951012;m;CHN;;
503;YANG;Junxuan;20020126;f;CHN;;
504;YU;Liyan;20000601;f;CHN;;
505;ZELLMANN;Poul;19950902;m;GER;;
506;ZHU;Menghui;19990323;f;CHN;;
