id;nom;prenom;anneeDeNaissance;sexe;nationalite;club;status
372;COOK;Tamsin;19981225;f;AUS;;
373;CORBETT;Kaylene;19990615;f;RSA;;
374;CORREIA;Breno;19990219;m;BRA;;
375;COSTA;Guilherme;19981001;m;BRA;;
376;DE DEUS;Leonardo;19910118;m;BRA;;
377;DE TULLIO;Marco;20000921;m;ITA;;
378;DETTI;Gabriele;19940829;m;ITA;;
379;DI COLA;Stefano;19981211;m;ITA;;
380;DOUGLASS;Kate;20011117;f;USA;;
381;DOVGALYUK;Mikhail;19950603;m;RUS;;
382;EGOROVA;Anna;19980531;f;RUS;;
383;FAIRWEATHER;Erika;20031231;f;NZL;;
384;FINK;Nic;19930703;m;USA;;
385;FINKE;Robert;19991106;m;USA;;
386;FRIGO;Manuel;19970218;m;ITA;;
387;FROLOV;Serhii;19920414;m;UKR;;
388;GARCIA SAIZ;Nicolas;20020618;m;ESP;;
389;GIREV;Ivan;20000629;m;RUS;;
390;GOLDFADEN;Itay;19960424;m;ISR;;
391;GOSE;Isabel;20020509;f;GER;;
392;GOUGH;Maddy;19990608;f;AUS;;
393;GRAHAM;Alexander;19950428;m;AUS;;
394;GRIMES;Katie;20060108;f;USA;;
395;GRINEV;Vladislav;19960721;m;RUS;;
396;GUZHENKOVA;Anastasia;19970816;f;RUS;;
397;HAAS;Townley;19961213;m;USA;;
398;HAFNAOUI;Ahmed;20021204;m;TUN;;
399;HAGINO;Kosuke;19940815;m;JPN;;
400;HARRIS;Meg;20020307;f;AUS;;
401;HARTING;Zach;19970827;m;USA;;
402;HASEGAWA;Suzuka;20000125;f;JPN;;
403;HAUGHEY;Siobhan Bernadette;19971231;f;HKG;;
404;HAYDEN;Brent;19831221;m;CAN;;
405;HE;Junyi;19970802;m;CHN;;
406;HINDS;Natalie;19931207;f;USA;;
407;HODGES;Chelsea;20010627;f;AUS;;
408;HOLLARD;Tristan;19961123;m;AUS;;
409;HONDA;Tomoru;20011231;m;JPN;;
410;HOPE;Lucy;19970130;f;GBR;;
411;IGARASHI;Chihiro;19950524;f;JPN;;
412;IKEE;Rikako;20000704;f;JPN;;
413;INCERTI;Zac;19960713;m;AUS;;
414;IRIE;Ryosuke;19900124;m;JPN;;
415;JACOBY;Lydia;20040228;f;USA;;
416;JAKABOS;Zsuzsanna;19890403;f;HUN;;
417;JERVIS;Daniel;19960609;m;GBR;;
418;KAPAS;Boglarka;19930422;f;HUN;;
419;KESELY;Ajna;20010910;f;HUN;;
420;KIBLER;Drew;20000309;m;USA;;
421;KING;Lilly;19970210;f;USA;;
422;KIRPICHNIKOVA;Anastasiia;20000624;f;RUS;;
423;KOHLER;Sarah;19940620;f;GER;;
424;KONISHI;Anna;19960510;f;JPN;;
425;KULLMANN;Leonie Marlen;19990826;f;GER;;
426;LARKIN;Mitch;20000709;m;AUS;;
427;LAZOR;Annie;19940817;f;USA;;
428;LE CLOS;Chad;19920412;m;RSA;;
429;LECLUYSE;Fanny;19920311;f;BEL;;
430;LEDECKY;Kathleen;20070317;f;USA;;
431;LI;Bingjie;20020303;f;CHN;;
432;LIESS;Nils;19960824;m;SUI;;
433;LIU;Yaxin;19990616;f;CHN;;
434;MADDEN;Paige;19981022;f;USA;;
435;MANUEL;Simone;19960802;f;USA;;
436;MARTENS;Lukas;20011227;m;GER;;
437;MARTINEZ;Luis Carlos;19951211;m;GUA;;
438;MARTYNYCHEV;Kirill;20020505;m;RUS;;
439;MASSE;Kylie;19960118;f;CAN;;
440;MASTROMATTEO;Gabe;20020427;m;CAN;;
441;MC LAUGHLIN;Kathryn;19970709;f;USA;;
442;MC SHARRY;Mona;20000821;f;IRL;;
443;MCINTOSH;Summer;20060818;f;CAN;;
444;MCKEOWN;Kaylee;20010712;f;AUS;;
445;MCLOUGHLIN;Jack;19950201;m;AUS;;
446;MEFFORD;Bryce;19981003;m;USA;;
447;MEGLI;Filippo;19970510;m;ITA;;
448;MELO;Luiz Altamir;19960509;m;BRA;;
449;MELVERTON;Kiah;19961105;f;AUS;;
450;MITCHELL;Jake;20011222;m;USA;;
451;MIZUNUMA;Naoki;19961213;m;JPN;;
452;MUHLLEITNER;Henning Bennet;19970715;m;GER;;
453;MURA;Ryuya;19960703;m;JPN;;
454;MURPHY;Ryan;19950702;m;USA;;
455;NAKAMURA;Katsumi;19940221;m;JPN;;
456;NEALE;Leah;19950801;f;AUS;;
457;NEILL;Thomas;20020602;m;AUS;;
458;PALTRINIERI;Gregorio;19940905;m;ITA;;
459;PANZIERA;Margherita;19950812;f;ITA;;
460;PENG;Xuwei;20030115;f;CHN;;
461;PIERONI;Blake;19951115;m;USA;;
462;PIETRUSCHKA;Marie;19950621;f;GER;;
463;QUADARELLA;Simona;19981218;f;ITA;;
464;RENSHAW;Molly;19960506;f;GBR;;
465;RICHARDS;Matthew;20021217;m;GBR;;
466;ROMANCHUK;Mykhailo;19960807;m;UKR;;
467;RUCK;Taylor;20000528;f;CAN;;
468;SALAMATINA;Valeriia;19980919;f;RUS;;
469;SATO;Shoma;20010208;m;JPN;;
470;SCHEFFER;Fernando;19980406;m;BRA;;
471;SCHMITT;Allison;19900607;f;USA;;
472;SCHOENMAKER;Tatjana;19970709;f;RSA;;
473;SCHWINGENSCHLOGL;Fabian;19910815;f;GER;;
474;SEEBOHM;Emily;19920605;f;AUS;;
475;SETIN SARTORI;Murilo;20020518;m;BRA;;
476;SMITH;Brendon;20000704;m;AUS;;
477;SMITH;Kieran;20000520;m;USA;;
478;SMITH;Rebecca;20000314;f;CAN;;
479;SMITH;Regan;20020209;f;USA;;
480;STEPHENS;Laura;19990602;f;GBR;;
481;STRAUCH;Jenna;19970324;f;AUS;;
482;STUBBLETY-COOK;Izaac;19990104;m;AUS;;
483;SULLIVAN;Erica;20000809;f;USA;;
484;SUN;Jiajun;20000801;m;CHN;;
485;TANG;Muhan;20030904;f;CHN;;
486;TANG;Qianting;20040314;f;CHN;;
487;TEMPLE;Matthew;19990620;m;AUS;;
488;THOMAS;Alys Margaret;19901010;f;GBR;;
489;THORMEYER;Markus;19970825;m;CAN;;
490;TITMUS;Ariarne;20000907;f;AUS;;
491;VERES;Laura;20050821;f;HUN;;
492;WALSH;Alex;20010731;f;USA;;
493;WANG;Jianjiahe;20020717;f;CHN;;
494;WATANABE;Kanako;19961115;f;JPN;;
