analyses.id;nageurs.id;prenom;nageurs.nom;sexe;anneeDeNaissance;nationalite;club;courses.id;dateCourse;competitions.nom;longueurBassin;distances.libelle;styles.libelle;rounds.libelle;tpsDebutCourse;tpsFinal;tpsReaction;tpsDecollagePieds;tpsVol;couloir
11;6;Joris;BOUCHAUT;m;19950101;FRA;DAUPHINS TOULOUSE OEC;7;20210517;CE 2021 BUDAPEST;50;400;Nage Libre;Series;23,93;230,48;0,7;0,7;1,04;1
13;15;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;8;20210517;CE 2021 BUDAPEST;50;50;Nage Libre;Demi-finale;19,99;25,08;0,58;0,58;0,94;2
14;23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;9;20210517;CE 2021 BUDAPEST;50;50;Dos;Demi-finale;9,09;25,11;0,62;0,62;0,69;3
15;34;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;10;20210517;CE 2021 BUDAPEST;50;100;Papillon;Demi-finale;10,39;57,48;0,7;0,7;0,96;4
16;34;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;11;20210517;CE 2021 BUDAPEST;50;4x100;Nage Libre;Finale;10,83;53,97;0,68;0,68;0,96;6
17;5;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;11;20210517;CE 2021 BUDAPEST;50;4x100;Nage Libre;Finale;64,82;53,36;0,21;0,21;0,53;6
19;32;Assia;TOUATI;f;19950101;FRA;DAUPHINS TOULOUSE OEC;11;20210517;CE 2021 BUDAPEST;50;4x100;Nage Libre;Finale;172,45;54,34;0,19;0,19;0,52;6
18;20;Anouchka;MARTIN;f;19930101;FRA;CN MARSEILLE;11;20210517;CE 2021 BUDAPEST;50;4x100;Nage Libre;Finale;118,18;54,25;0,03;0,03;0,47;6
21;3;Julien;BEROL;m;20010101;FRA;CN MARSEILLE;12;20210518;CE 2021 BUDAPEST;50;100;Nage Libre;Series;13,81;49,35;0,59;0,59;1;6
20;14;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;12;20210518;CE 2021 BUDAPEST;50;100;Nage Libre;Series;12,86;48,36;0,69;0,69;1,01;2
22;28;Charles;RIHOUX;m;19980101;FRA;OLYMPIC NICE NATATION;12;20210518;CE 2021 BUDAPEST;50;100;Nage Libre;Series;18,56;49,04;0,73;0,73;1,05;2
303;217;David;POPOVICI;m;20040915;ROU;;12;20210518;CE 2021 BUDAPEST;50;100;Nage Libre;Series;11,59;48,3;0,66;0,66;1;5
23;19;Léon;MARCHAND;m;20020101;FRA;DAUPHINS TOULOUSE OEC;13;20210518;CE 2021 BUDAPEST;50;200;Papillon;Series;10,95;116,33;0,65;0,65;0,96;6
24;17;Damien;JOLY;m;19920101;FRA;MONTPELLIER METROPOLE NATATION;14;20210518;CE 2021 BUDAPEST;50;1500;Nage Libre;Series;12,92;896,09;0,69;0,69;1,01;7
25;14;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;15;20210518;CE 2021 BUDAPEST;50;100;Nage Libre;Demi-finale;3,32;48,09;0,64;0,64;0,99;3
302;217;David;POPOVICI;m;20040915;ROU;;15;20210518;CE 2021 BUDAPEST;50;100;Nage Libre;Demi-finale;6,47;48,28;0,65;0,65;0,98;3
26;34;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;16;20210518;CE 2021 BUDAPEST;50;100;Papillon;Finale;11,83;57,37;0,7;0,7;1,01;5
178;234;Anastasiya;SHKURDAI;f;20030103;BLR;;16;20210518;CE 2021 BUDAPEST;50;100;Papillon;Finale;25,48;58,1;0,64;0,64;0,93;1
185;204;Arina;SURKOVA;f;19980717;RUS;;16;20210518;CE 2021 BUDAPEST;50;100;Papillon;Finale;4,98;58,21;0,79;0,79;1,04;2
180;235;Svetlana;CHIMROVA;f;19960415;RUS;;16;20210518;CE 2021 BUDAPEST;50;100;Papillon;Finale;5,86;57,65;0,69;0,69;0,95;3
181;236;Louise;HANSSON;f;19961124;SWE;;16;20210518;CE 2021 BUDAPEST;50;100;Papillon;Finale;11,26;57,56;0,69;0,69;0,95;4
182;201;Anna;NTOUNTOUNAKI;f;19950909;GRE;;16;20210518;CE 2021 BUDAPEST;50;100;Papillon;Finale;9,48;57,37;0,63;0,63;0,9;6
183;237;Elena;DI LIDDO;f;19930908;ITA;;16;20210518;CE 2021 BUDAPEST;50;100;Papillon;Finale;13,64;58,05;0,65;0,65;0,88;7
184;238;Ilaria;BIANCHI;f;19900106;ITA;;16;20210518;CE 2021 BUDAPEST;50;100;Papillon;Finale;5,52;58,41;0,71;0,71;1,01;8
27;19;Léon;MARCHAND;m;20020101;FRA;DAUPHINS TOULOUSE OEC;17;20210518;CE 2021 BUDAPEST;50;200;Papillon;Demi-finale;7,1;117,77;0,65;0,65;0,97;6
28;4;Clément;BIDARD;m;20010101;FRA;MULHOUSE ON;18;20210519;CE 2021 BUDAPEST;50;200;4 Nages;Series;7,06;122,29;0,71;0,71;1,1;8
31;5;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;19;20210519;CE 2021 BUDAPEST;50;200;Nage Libre;Series;7,57;118,33;0,68;0,68;0,94;4
37;32;Assia;TOUATI;f;19950101;FRA;DAUPHINS TOULOUSE OEC;19;20210519;CE 2021 BUDAPEST;50;200;Nage Libre;Series;3;120,99;0,64;0,64;0,91;0
29;23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;20;20210519;CE 2021 BUDAPEST;50;100;Dos;Series;12,61;53,24;0,72;0,72;0,78;5
32;26;Maxence;ORANGE;m;19980101;FRA;NANTES NATATION;20;20210519;CE 2021 BUDAPEST;50;100;Dos;Series;13,25;54,9;0,62;0,62;0,74;0
30;31;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;20;20210519;CE 2021 BUDAPEST;50;100;Dos;Series;9,5;53,46;0,57;0,57;0,67;5
33;1;Jonathan;ATSU;m;19960101;FRA;DAUPHINS TOULOUSE OEC;21;20210519;CE 2021 BUDAPEST;50;4x200;Nage Libre;Series;9,91;108,26;0,66;0,66;1;5
34;29;Enzo;TESIC;m;20000101;FRA;AMIENS METROPOLE NAT.;21;20210519;CE 2021 BUDAPEST;50;4x200;Nage Libre;Series;118,17;106,87;0,08;0,08;0,48;5
35;13;Roman;FUCHS;m;19980101;FRA;AMIENS METROPOLE NAT.;21;20210519;CE 2021 BUDAPEST;50;4x200;Nage Libre;Series;225,03;108,97;0;0;0,42;5
36;27;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;21;20210519;CE 2021 BUDAPEST;50;4x200;Nage Libre;Series;334;106,34;0,33;0,33;0,73;5
38;19;Léon;MARCHAND;m;20020101;FRA;DAUPHINS TOULOUSE OEC;22;20210519;CE 2021 BUDAPEST;50;200;Brasse;Series;5,47;133,4;0,68;0,68;1,02;8
39;33;Antoine;VIQUERAT;m;19980101;FRA;DAUPHINS TOULOUSE OEC;22;20210519;CE 2021 BUDAPEST;50;200;Brasse;Series;7,24;132,82;0,66;0,66;0,99;8
40;14;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;23;20210519;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;15,33;47,9;0,7;0,7;1,04;2
193;217;David;POPOVICI;m;20040915;ROU;;23;20210519;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;7,05;48,08;0,68;0,68;0,98;1
194;35;Kliment;KOLESNIKOV;m;20000709;RUS;;23;20210519;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;9,1;47,37;0,63;0,63;0,95;3
195;218;Alessandro;MIRESSI;m;19981002;ITA;;23;20210519;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;15,23;47,45;0,7;0,7;1,04;4
196;209;Andrei;MINAKOV;m;20020317;RUS;;23;20210519;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;9,25;47,74;0,63;0,63;0,99;5
197;219;Nandor;NEMETH;m;19991119;HUN;;23;20210519;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;14,24;47,84;0,61;0,61;0,95;6
198;220;Roman;MITYUKOV;m;20000730;SUI;;23;20210519;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;15,56;48,47;0,55;0,55;0,9;7
199;221;Thomas;DEAN;m;20000502;GBR;;23;20210519;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;8,39;48,3;0,66;0,66;0,99;8
41;23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;24;20210519;CE 2021 BUDAPEST;50;100;Dos;Demi-finale;16,62;53,01;0,71;0,71;0,77;4
42;31;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;24;20210519;CE 2021 BUDAPEST;50;100;Dos;Demi-finale;15,79;52,86;0,61;0,61;0,7;6
43;5;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;25;20210519;CE 2021 BUDAPEST;50;200;Nage Libre;Demi-finale;14,25;117,3;0,7;0,7;0,96;4
44;27;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;26;20210519;CE 2021 BUDAPEST;50;4x200;Nage Libre;Finale;20,65;106,91;0,64;0,64;0,96;6
45;29;Enzo;TESIC;m;20000101;FRA;AMIENS METROPOLE NAT.;26;20210519;CE 2021 BUDAPEST;50;4x200;Nage Libre;Finale;127,57;106,88;0,14;0,14;0,58;6
46;31;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;26;20210519;CE 2021 BUDAPEST;50;4x200;Nage Libre;Finale;234,39;106,96;0,32;0,32;0,63;6
47;1;Jonathan;ATSU;m;19960101;FRA;DAUPHINS TOULOUSE OEC;26;20210519;CE 2021 BUDAPEST;50;4x200;Nage Libre;Finale;341,4;106,49;0,13;0,13;0,54;6
49;1;Jonathan;ATSU;m;19960101;FRA;DAUPHINS TOULOUSE OEC;27;20210520;CE 2021 BUDAPEST;50;200;Nage Libre;Series;9,77;107,84;0,68;0,68;1;0
58;13;Roman;FUCHS;m;19980101;FRA;AMIENS METROPOLE NAT.;27;20210520;CE 2021 BUDAPEST;50;200;Nage Libre;Series;13,28;110,41;0,65;0,65;1,03;7
48;27;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;27;20210520;CE 2021 BUDAPEST;50;200;Nage Libre;Series;0,15;107,44;0,65;0,65;0,96;8
57;29;Enzo;TESIC;m;20000101;FRA;AMIENS METROPOLE NAT.;27;20210520;CE 2021 BUDAPEST;50;200;Nage Libre;Series;3,43;108,47;0,7;0,7;1,06;4
50;14;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;29;20210520;CE 2021 BUDAPEST;50;50;Papillon;Series;13,36;23,41;0,63;0,63;0,97;6
52;18;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;29;20210520;CE 2021 BUDAPEST;50;50;Papillon;Series;18,13;23,54;0,68;0,68;1,12;1
53;23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;30;20210520;CE 2021 BUDAPEST;50;4x100;4 Nages;Series;4,99;53,64;0,68;0,68;0,74;4
54;7;Theo;BUSSIERE;m;19950101;FRA;CN MARSEILLE;30;20210520;CE 2021 BUDAPEST;50;4x100;4 Nages;Series;58,74;59,97;0,09;0,09;0,43;4
55;34;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;30;20210520;CE 2021 BUDAPEST;50;4x100;4 Nages;Series;118,71;57,83;0,24;0,24;0,53;4
56;32;Assia;TOUATI;f;19950101;FRA;DAUPHINS TOULOUSE OEC;30;20210520;CE 2021 BUDAPEST;50;4x100;4 Nages;Series;176,56;54,95;0,27;0,27;0,59;4
59;23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;31;20210520;CE 2021 BUDAPEST;50;100;Dos;Finale;19,31;52,97;0,68;0,68;0,74;6
60;31;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;31;20210520;CE 2021 BUDAPEST;50;100;Dos;Finale;21,35;53;0,6;0,6;0,68;5
208;208;Thomas;CECCON;m;20010127;ITA;;31;20210520;CE 2021 BUDAPEST;50;100;Dos;Finale;15,67;53,02;0,64;0,64;0,68;1
209;37;Hugo;GONZALEZ DE OLIVEIRA;m;19990219;ESP;;31;20210520;CE 2021 BUDAPEST;50;100;Dos;Finale;13,83;52,9;0,57;0,57;0,68;2
210;36;Robert-Andrei;GLINTA;m;19970418;ROU;;31;20210520;CE 2021 BUDAPEST;50;100;Dos;Finale;10,09;52,88;0,58;0,58;0,66;3
211;38;Apostolos;CHRISTOU;m;19961101;GRE;;31;20210520;CE 2021 BUDAPEST;50;100;Dos;Finale;14,74;52,97;0,59;0,59;0,68;4
212;246;Evgeny;RYLOV;m;19960923;RUS;;31;20210520;CE 2021 BUDAPEST;50;100;Dos;Finale;16,89;53,51;0,54;0,54;0,74;7
213;247;Luke;GREENBANK;m;19970917;GBR;;31;20210520;CE 2021 BUDAPEST;50;100;Dos;Finale;6,74;53,34;0,55;0,55;0,63;8
64;1;Jonathan;ATSU;m;19960101;FRA;DAUPHINS TOULOUSE OEC;32;20210520;CE 2021 BUDAPEST;50;200;Nage Libre;Demi-finale;17,75;108,07;0,68;0,68;1;0
63;27;Jordan;POTHAIN;m;19940101;FRA;OLYMPIC NICE NATATION;32;20210520;CE 2021 BUDAPEST;50;200;Nage Libre;Demi-finale;9,01;107,6;0,64;0,64;1,01;6
62;14;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;33;20210520;CE 2021 BUDAPEST;50;50;Papillon;Demi-finale;4,45;23,39;0,66;0,66;1,01;3
61;18;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;33;20210520;CE 2021 BUDAPEST;50;50;Papillon;Demi-finale;18,74;23,41;0,65;0,65;1,08;1
65;5;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;34;20210520;CE 2021 BUDAPEST;50;200;Nage Libre;Finale;14,51;116,55;0,7;0,7;0,95;5
247;50;Barbora;SEEMANOVA;f;20000401;CZE;;34;20210520;CE 2021 BUDAPEST;50;200;Nage Libre;Finale;14,45;116,27;0,63;0,63;0,94;4
66;34;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;35;20210521;CE 2021 BUDAPEST;50;100;Nage Libre;Series;4,69;54,07;0,67;0,67;0,94;5
67;7;Theo;BUSSIERE;m;19950101;FRA;CN MARSEILLE;36;20210521;CE 2021 BUDAPEST;50;50;Brasse;Series;17,37;27,95;0,67;0,67;1;1
68;11;Cyrielle;DUHAMEL;f;20000101;FRA;STADE BÉTHUNE PÉLICAN CLUB;37;20210521;CE 2021 BUDAPEST;50;200;4 Nages;Series;9,6;132,35;0,69;0,69;0,97;2
69;16;Antoine;HERLEM;m;19990101;FRA;DAUPHINS TOULOUSE OEC;38;20210521;CE 2021 BUDAPEST;50;200;Dos;Series;11,16;116,42;0,59;0,59;0,71;1
70;23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;38;20210521;CE 2021 BUDAPEST;50;200;Dos;Series;8,52;117,7;0,65;0,65;0,72;4
71;31;Mewen;TOMAC;m;20010101;FRA;AMIENS METROPOLE NAT.;38;20210521;CE 2021 BUDAPEST;50;200;Dos;Series;16,08;120,63;0,65;0,65;0,73;7
72;12;Margaux;FABRE;f;19920101;FRA;CANET 66 NATATION;39;20210521;CE 2021 BUDAPEST;50;4x200;Nage Libre;Series;5,04;121,86;0,69;0,69;0,97;5
73;8;Oceane;CARNEZ;f;20020101;FRA;STADE BÉTHUNE PÉLICAN CLUB;39;20210521;CE 2021 BUDAPEST;50;4x200;Nage Libre;Series;126,83;120,04;0,56;0,56;0,78;5
74;30;Lucile;TESSARIOL;f;20040101;FRA;SA MÉRIGNAC;39;20210521;CE 2021 BUDAPEST;50;4x200;Nage Libre;Series;246,94;121,92;0,56;0,56;0,85;5
75;32;Assia;TOUATI;f;19950101;FRA;DAUPHINS TOULOUSE OEC;39;20210521;CE 2021 BUDAPEST;50;4x200;Nage Libre;Series;368,84;119,54;0,21;0,21;0,49;5
76;6;Joris;BOUCHAUT;m;19950101;FRA;DAUPHINS TOULOUSE OEC;40;20210521;CE 2021 BUDAPEST;50;800;Nage Libre;Series;11,21;473,07;0,68;0,68;1,08;5
77;16;Antoine;HERLEM;m;19990101;FRA;DAUPHINS TOULOUSE OEC;41;20210521;CE 2021 BUDAPEST;50;200;Dos;Demi-finale;24,48;116,63;0,59;0,59;0,71;5
78;23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;41;20210521;CE 2021 BUDAPEST;50;200;Dos;Demi-finale;16,28;117,06;0,66;0,66;0,71;6
79;34;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;42;20210521;CE 2021 BUDAPEST;50;100;Nage Libre;Demi-finale;17,92;53,34;0,68;0,68;0,93;5
80;11;Cyrielle;DUHAMEL;f;20000101;FRA;STADE BÉTHUNE PÉLICAN CLUB;43;20210521;CE 2021 BUDAPEST;50;200;4 Nages;Demi-finale;8,12;132,12;0,71;0,71;1;3
81;5;Charlotte;BONNET;f;19950101;FRA;OLYMPIC NICE NATATION;44;20210521;CE 2021 BUDAPEST;50;4x200;Nage Libre;Finale;3,88;117,31;0,68;0,68;0,94;8
83;30;Lucile;TESSARIOL;f;20040101;FRA;SA MÉRIGNAC;44;20210521;CE 2021 BUDAPEST;50;4x200;Nage Libre;Finale;242,65;120,61;0,4;0,4;0,7;8
82;8;Oceane;CARNEZ;f;20020101;FRA;STADE BÉTHUNE PÉLICAN CLUB;44;20210521;CE 2021 BUDAPEST;50;4x200;Nage Libre;Finale;121,19;121,47;0,43;0,43;0,62;8
84;32;Assia;TOUATI;f;19950101;FRA;DAUPHINS TOULOUSE OEC;44;20210521;CE 2021 BUDAPEST;50;4x200;Nage Libre;Finale;363,27;120,06;0,36;0,36;0,72;8
85;18;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;45;20210522;CE 2021 BUDAPEST;50;50;Nage Libre;Series;8,84;21,86;0,67;0,67;1,04;0
86;14;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;45;20210522;CE 2021 BUDAPEST;50;50;Nage Libre;Series;5,61;22,19;0,63;0,63;0,94;3
87;15;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;46;20210522;CE 2021 BUDAPEST;50;50;Papillon;Series;3,52;25,3;0,59;0,59;0,94;4
88;34;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;46;20210522;CE 2021 BUDAPEST;50;50;Papillon;Series;20,39;26,35;0,68;0,68;0,91;5
90;10;Justine;DELMAS;f;20050101;FRA;CNO ST-GERMAIN-EN-LAYE;47;20210522;CE 2021 BUDAPEST;50;50;Brasse;Series;12,78;32,23;0,76;0,76;0,99;1
89;22;Mehdy;METELLA;m;19920101;FRA;CN MARSEILLE;48;20210522;CE 2021 BUDAPEST;50;100;Papillon;Series;6,9;52,31;0,7;0,7;1,04;4
91;34;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;50;20210522;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;10,33;53,32;0,69;0,69;0,96;4
186;215;Freya;ANDERSON;f;20010304;GBR;;50;20210522;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;29,11;53,56;0,72;0,72;0,98;1
187;216;Signe;BRO;f;19990305;DEN;;50;20210522;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;5,89;53,69;0,72;0,72;0,96;2
188;43;Ranomi;KROMOWIDJOJO;f;19900820;NED;;50;20210522;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;8,87;53,44;0,68;0,68;0,94;3
189;47;Femke;HEEMSKERK;f;19870921;NED;;50;20210522;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;3,19;53,05;0,72;0,72;0,92;5
190;50;Barbora;SEEMANOVA;f;20000401;CZE;;50;20210522;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;14,56;53,74;0,62;0,62;0,89;6
191;48;Anna;HOPKIN;f;19960424;GBR;;50;20210522;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;14,46;53,43;0,67;0,67;0,97;7
192;49;Michelle;COLEMAN;f;19931031;SWE;;50;20210522;CE 2021 BUDAPEST;50;100;Nage Libre;Finale;4,37;54,15;0,68;0,68;1,02;8
93;14;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;51;20210522;CE 2021 BUDAPEST;50;50;Nage Libre;Demi-finale;23,04;21,95;0,6;0,6;0,93;1
92;18;Florent;MANAUDOU;m;19900101;FRA;CN MARSEILLE;51;20210522;CE 2021 BUDAPEST;50;50;Nage Libre;Demi-finale;13,7;21,67;0,63;0,63;1,03;4
94;15;Mélanie;HENIQUE;f;19920101;FRA;CN MARSEILLE;52;20210522;CE 2021 BUDAPEST;50;50;Papillon;Demi-finale;14,06;25,53;0,61;0,61;0,96;4
95;34;Marie;WATTEL;f;19970101;FRA;CN MARSEILLE;52;20210522;CE 2021 BUDAPEST;50;50;Papillon;Demi-finale;14,65;26,07;0,66;0,66;0,92;7
96;16;Antoine;HERLEM;m;19990101;FRA;DAUPHINS TOULOUSE OEC;53;20210522;CE 2021 BUDAPEST;50;200;Dos;Finale;17,14;118,64;0,59;0,59;0,69;8
97;23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;53;20210522;CE 2021 BUDAPEST;50;200;Dos;Finale;20,98;116,37;0,61;0,61;0,69;7
230;256;Jakub;SKIERKA;m;19981004;POL;;53;20210522;CE 2021 BUDAPEST;50;200;Dos;Finale;12,44;118,56;0,62;0,62;0,73;1
231;257;Adam;TELEGDY;m;19951101;HUN;;53;20210522;CE 2021 BUDAPEST;50;200;Dos;Finale;10,55;116,67;0,67;0,67;0,73;3
232;247;Luke;GREENBANK;m;19970917;GBR;;53;20210522;CE 2021 BUDAPEST;50;200;Dos;Finale;13,33;114,62;0,58;0,58;0,71;4
233;246;Evgeny;RYLOV;m;19960923;RUS;;53;20210522;CE 2021 BUDAPEST;50;200;Dos;Finale;24,54;114,46;0,53;0,53;0,76;5
234;220;Roman;MITYUKOV;m;20000730;SUI;;53;20210522;CE 2021 BUDAPEST;50;200;Dos;Finale;20,93;116,33;0,52;0,52;0,62;6
235;258;Radoslaw;KAWECKI;m;19910816;POL;;53;20210522;CE 2021 BUDAPEST;50;200;Dos;Finale;8,01;117,05;0,66;0,66;0,78;8
98;11;Cyrielle;DUHAMEL;f;20000101;FRA;STADE BÉTHUNE PÉLICAN CLUB;54;20210522;CE 2021 BUDAPEST;50;200;4 Nages;Finale;17,91;133,22;0,68;0,68;0,94;1
259;287;Abbie;WOOD;f;19990302;GBR;;54;20210522;CE 2021 BUDAPEST;50;200;4 Nages;Finale;12,45;130,03;0,68;0,68;0,92;2
260;288;Ilaria;CUSINATO;f;19991005;ITA;;54;20210522;CE 2021 BUDAPEST;50;200;4 Nages;Finale;4,52;131,7;0,71;0,71;1,01;3
261;289;Anastasia;GORBENKO;f;20030807;ISR;;54;20210522;CE 2021 BUDAPEST;50;200;4 Nages;Finale;14,32;129,99;0,71;0,71;1,07;4
262;290;Katinka;HOSSZU;f;19890503;HUN;;54;20210522;CE 2021 BUDAPEST;50;200;4 Nages;Finale;14,8;130,12;0,68;0,68;1,03;5
263;291;Maria;UGOLKOVA;f;19890718;SUI;;54;20210522;CE 2021 BUDAPEST;50;200;4 Nages;Finale;6,74;130,76;0,63;0,63;0,98;6
264;292;Sara;FRANCESCHI;f;19990201;ITA;;54;20210522;CE 2021 BUDAPEST;50;200;4 Nages;Finale;14,15;130,65;0,72;0,72;0,98;7
265;293;Dalma;SEBESTYEN;f;19970123;HUN;;54;20210522;CE 2021 BUDAPEST;50;200;4 Nages;Finale;5,47;132,42;0,72;0,72;1;8
99;21;Emilien;MATTENET;m;20000101;FRA;CHARLEVILLE-MÉZIÈRES NATATION;55;20210523;CE 2021 BUDAPEST;50;400;4 Nages;Series;10,2;262,07;0,74;0,74;0,99;8
100;23;Yohann;NDOYE BROUARD;m;20000101;FRA;DAUPHINS D'ANNECY;56;20210523;CE 2021 BUDAPEST;50;4x100;4 Nages;Series;20,16;52,96;0,61;0,61;0,67;7
101;7;Theo;BUSSIERE;m;19950101;FRA;CN MARSEILLE;56;20210523;CE 2021 BUDAPEST;50;4x100;4 Nages;Series;73,17;60,3;0,18;0,18;0,52;7
102;22;Mehdy;METELLA;m;19920101;FRA;CN MARSEILLE;56;20210523;CE 2021 BUDAPEST;50;4x100;4 Nages;Series;133,49;51,26;0,2;0,2;0,59;7
103;14;Maxime;GROUSSET;m;19990101;FRA;AMIENS METROPOLE NAT.;56;20210523;CE 2021 BUDAPEST;50;4x100;4 Nages;Series;184,71;47,98;0,22;0,22;0,67;7
104;9;Mathilde;CINI;f;19940101;FRA;VALENCE TRIATHLON;56;20210523;CE 2021 BUDAPEST;50;4x100;4 Nages;Series;7,39;61,27;0,62;0,62;0,76;8
105;10;Justine;DELMAS;f;20050101;FRA;CNO ST-GERMAIN-EN-LAYE;56;20210523;CE 2021 BUDAPEST;50;4x100;4 Nages;Series;68,63;68,22;0,22;0,22;0,47;8
