id;idAnalyse;distanceDebut;tpsFinCoulee;tpsFinPremierMvt;nbCycles;tpsFinDernierMvt;distanceFin;tpsPassage
2031;760;100;56.22;-1;0;78.75;150;80.01
2032;760;150;83.32;-1;0;107.55;200;108.06
2033;761;0;-1;-1;0;-1;50;24.77
2034;761;50;-1;-1;0;-1;100;51.97
2035;761;100;-1;-1;0;-1;150;79.93
2036;761;150;-1;-1;0;-1;200;106.98
2037;762;0;-1;-1;0;-1;50;25.17
2038;762;50;-1;-1;0;-1;100;52.37
2039;762;100;-1;-1;0;-1;150;80.14
2040;762;150;-1;-1;0;-1;200;107.44
2041;763;0;-1;-1;0;-1;50;25
2042;763;50;-1;-1;0;-1;100;51.54
2043;763;100;-1;-1;0;-1;150;79.23
2044;763;150;-1;-1;0;-1;200;107.4
2045;764;0;4.4;-1;0;24.71;50;25.76
2046;764;50;28.47;-1;0;52.27;100;53.46
2047;764;100;56.22;-1;0;80.28;150;82.03
2048;764;150;84.49;-1;0;108.99;200;109.38
2049;765;0;5.07;-1;0;24.16;50;25.61
2050;765;50;29.03;-1;0;51.79;100;53.43
2051;765;100;56.42;-1;0;79.91;150;81.53
2052;765;150;83.98;-1;0;109.48;200;109.69
2053;766;0;6.42;-1;0;25.4;50;26.87
2054;766;50;31.8;-1;0;55.11;100;56.51
2055;766;100;61.17;-1;0;85.31;150;86.76
2056;766;150;90.69;-1;0;115.79;200;116.1
2057;767;0;6.3;-1;0;26.7;50;28.21
2058;767;50;33.08;-1;0;58.22;100;59.47
2059;767;100;64.55;-1;0;89.45;150;90.93
2060;767;150;95.7;-1;0;120.97;200;121.45
2061;768;0;7.01;-1;0;26.64;50;28.09
2062;768;50;33.04;-1;0;56.78;100;58.37
2063;768;100;62.94;-1;0;87.68;150;89.28
2064;768;150;93.68;-1;0;118.4;200;119.1
2065;769;0;6.06;-1;0;26.83;50;28.09
2066;769;50;34.34;-1;0;57.26;100;58.38
2067;769;100;63.45;-1;0;88.05;150;89.36
2068;769;150;94.94;-1;0;118.78;200;119.15
2069;770;0;6.42;-1;0;26.27;50;27.56
2070;770;50;32.17;-1;0;56.72;100;58.08
2071;770;100;62.63;-1;0;86.62;150;88.15
2072;770;150;92.48;-1;0;117.1;200;117.6
2073;771;0;6.17;-1;0;26.53;50;27.96
2074;771;50;34.73;-1;0;57.15;100;58.4
2075;771;100;65.34;-1;0;87.45;150;88.81
2076;771;150;95.25;-1;0;118.33;200;118.79
2077;772;0;6.22;-1;0;26.4;50;27.68
2078;772;50;32.93;-1;0;56.92;100;58.19
2079;772;100;63.53;-1;0;87.62;150;88.95
2080;772;150;93.58;-1;0;117.8;200;118.58
2081;773;0;6.59;-1;0;26.53;50;28.2
2082;773;50;31.47;-1;0;57.37;100;59.06
2083;773;100;62.21;-1;0;88.47;150;90.32
2084;773;150;93.28;-1;0;120.07;200;120.91
2085;774;0;5.35;-1;0;29.79;50;30.25
2086;774;50;33.98;-1;0;63.85;100;65.12
2087;774;100;68.57;-1;0;99.63;150;100.7
2088;774;150;104.13;-1;0;135.05;200;135.77
2089;775;0;6.24;-1;0;29.74;50;30.33
2090;775;50;35.47;-1;0;64;100;64.16
2091;775;100;69.03;-1;0;99.12;150;99.19
2092;775;150;103.97;-1;0;133.79;200;134.36
2093;776;0;-1;-1;0;-1;50;30.5
2094;776;50;-1;-1;0;-1;100;64.98
2095;776;100;-1;-1;0;-1;150;98.89
2096;776;150;-1;-1;0;-1;200;134.2
2097;777;0;-1;-1;0;-1;50;30.22
2098;777;50;-1;-1;0;-1;100;63.58
2099;777;100;-1;-1;0;-1;150;97.97
2100;777;150;-1;-1;0;-1;200;133.1
2101;778;0;5.21;-1;0;28.85;50;29.73
2102;778;50;34.73;-1;0;62.65;100;63.46
2103;778;100;68.04;-1;0;96.65;150;97.35
2104;778;150;101.62;-1;0;131.39;200;131.88
2105;779;0;-1;-1;0;-1;50;30.21
2106;779;50;-1;-1;0;-1;100;64.7
2107;779;100;-1;-1;0;-1;150;99.97
2108;779;150;-1;-1;0;-1;200;134.97
